id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,Essentials,TV,Air conditioning,Elevator,Hangers,Washer,Iron,Laptop friendly workspace,Family/kid friendly,Hot water,Cable TV,Hair dryer,Free parking on premises,Smoking allowed,Dishes and silverware,Refrigerator,Doorman,Buzzer/wireless intercom,property_type_Apartment,room_type_Private room,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,neighbourhood_mean_price
40923480,2012.0,0,96.0,96.0,1,1,6,2.0,3.0,3.0,260.0,2,1,1125,1,5,90,1125,1.2,611.1,29,55,65,88,1,1,0,92,87,5,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,802.2762237762238
41658932,2014.0,0,10.0,10.0,1,1,6,1.0,2.0,1.0,600.0,1,3,1125,3,5,1125,1125,3.1,1125.0,28,53,83,358,0,0,0,5,5,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,802.2762237762238
40775395,2014.0,0,1.0,1.0,0,1,4,2.0,0.0,3.0,480.0,1,3,7,3,3,7,7,3.0,7.0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,802.2762237762238
2652117,2014.0,0,1.0,1.0,0,0,8,2.5,3.0,7.0,491.0,8,3,30,3,3,30,30,3.0,30.0,9,18,34,309,126,27,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,802.2762237762238
23925525,2017.0,0,3.0,3.0,0,1,3,1.0,1.0,1.0,801.0,1,5,1125,5,5,1125,1125,5.0,1125.0,0,0,0,0,0,0,1,3,3,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,802.2762237762238
35650863,2016.0,0,261.0,261.0,1,1,6,2.0,2.0,3.0,428.0,1,3,1125,3,5,1125,1125,3.0,1125.0,25,43,73,253,2,2,0,185,180,5,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,802.2762237762238
26182072,2016.0,0,58.0,58.0,0,0,4,1.0,1.0,2.0,457.0,1,3,700,3,5,700,700,3.1,700.0,18,39,49,49,0,0,1,55,55,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,802.2762237762238
18976998,2015.0,1,2.0,2.0,1,1,2,1.0,1.0,1.0,281.0,2,2,120,2,6,120,120,2.2,120.0,6,17,42,293,99,46,1,2,2,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,802.2762237762238
41663138,2011.0,0,42.0,42.0,0,1,4,2.0,2.0,4.0,1649.0,1,5,1125,5,5,1125,1125,5.0,1125.0,26,56,86,176,0,0,0,43,43,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,802.2762237762238
28394408,2012.0,0,4.0,4.0,0,1,3,1.0,1.0,2.0,147.0,1,2,1125,2,2,1125,1125,2.0,1125.0,28,51,81,356,3,3,0,3,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,802.2762237762238
41477720,2016.0,0,1.0,1.0,0,1,6,2.0,2.0,2.0,1301.0,1,1,28,1,1,28,28,1.0,28.0,0,1,1,11,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,802.2762237762238
16477055,2016.0,0,1.0,1.0,0,0,4,3.0,3.0,4.0,348.0,1,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,8,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,802.2762237762238
11417962,2016.0,0,1.0,1.0,0,1,5,2.0,3.0,5.0,999.0,1,3,1125,3,3,1125,1125,3.0,1125.0,0,2,2,2,3,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,802.2762237762238
22065187,2013.0,0,7.0,7.0,0,0,3,1.0,1.0,2.0,451.0,2,5,365,5,5,365,365,5.0,365.0,0,0,0,0,0,0,0,7,4,3,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,802.2762237762238
2996408,2014.0,0,5.0,5.0,0,1,2,1.5,1.0,0.0,386.0,2,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,9,2,1,3,0,3,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,802.2762237762238
9976363,2014.0,0,1.0,1.0,1,1,3,1.0,1.0,1.0,701.0,3,5,1125,5,5,1125,1125,5.0,1125.0,0,0,0,0,4,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,802.2762237762238
8970998,2011.0,0,34.0,34.0,1,0,6,2.0,3.0,3.0,1700.0,4,3,1125,3,3,1125,1125,3.0,1125.0,27,50,80,170,3,1,0,25,24,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,802.2762237762238
12846392,2016.0,0,58.0,58.0,0,0,4,1.0,1.0,2.0,470.0,1,4,700,4,5,700,700,5.0,700.0,0,0,0,0,0,0,1,55,55,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,802.2762237762238
21175874,2014.0,0,53.0,53.0,0,0,4,1.0,2.0,4.0,294.0,4,2,30,2,5,90,90,2.1,90.0,23,49,79,348,6,3,1,43,39,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,802.2762237762238
